geneNames	GSM1337304	GSM1337305	GSM1337306	GSM1337307	GSM1337308	GSM1337309	GSM1337310	GSM1337311	GSM1337312	GSM1337313	GSM1337314	GSM1337315	GSM1337316	GSM1337317	GSM1337318	GSM1337319	GSM1337320	GSM1337321	GSM1337322	GSM1337323	GSM1337324	GSM1337325	GSM1337326
SLC12A5	77.6	16.6	102.8	92	96.8	32.4	52.4	73.2	28.6	54.9	133.7	85.9	124.7	38.3	57.1	76.5	22.7	45	68.5	98.9	56.8	101.4	104.2
SLC12A6	110.3	136.6	145.5	238.1	103.4	167.1	143.2	162.7	171.3	226.1	152	121.6	136.2	84.9	113.1	118.8	111.6	124.1	119.7	143.5	162.5	129.5	266.4
SLC12A7	1374.8	1583.6	841.7	1274.7	1217.2	1215.9	1261.6	1279.2	1363.9	1298.5	1758.6	1322.3	1554.8	1628.8	878.7	1308	1105.2	1595.1	1301	1385.8	1337.2	1530.4	1469.5
SLC12A8	111.1	118.8	45.6	139.9	43.3	70	123.6	44.9	50	92.6	126.1	206.2	214.8	161.2	109.8	153.2	90.2	200.5	365.7	169.8	140.9	304	235.3
SLC12A9	435	448.4	290.9	486.3	249	419.2	426.9	498.4	583.7	577.4	405.4	277.3	454.3	439.3	270.1	332.5	447.6	544.8	484.6	545	410.4	445.9	529.4
SLC13A1	1.8	35.85	2.1	10.55	14.35	11.6	8.5	6.45	2.65	11.5	11.15	9.2	8.25	12.9	13.5	20.7	21.45	15.95	1.55	2.45	15.05	4.95	11.6
SLC13A2	20	15.2	12.7	21.6	16.2	60.2	25.4	22.7	22.1	20.8	23.3	89	7.7	46.2	14	13.4	3.2	3.8	16.5	21.2	18.9	18.2	30.9
SLC13A3	72.45	64.65	28.4	75.3	83.6	70.6	47.6	33.5	18.85	76.55	21.55	40.5	46.2	53.15	53.3	21.8	18.95	56.95	19.2	74.8	21.6	33.15	110.05
SLC13A4	70.4	106.7	108.8	190.4	87.6	68.4	43	127.4	20.3	123.5	46.9	74.9	110.5	78.2	57.3	52.4	13.7	12.1	20.8	112.7	65.6	40.5	106.7
SLC14A1	19.8	20.6	24	11.9	10.9	30.8	42	4.9	40.3	43.7	33.6	36	27.1	19.2	23.7	52.4	22.7	13.8	31.1	20.7	34.5	26.8	25.4
SLC15A1	20.7	48.3	45.95	49.95	47.6	40.05	28.75	23.7	18.55	46.8	40.95	48.5	23.45	32.9	21.65	42.05	37.15	27.45	21.95	36.3	29.15	47.05	45.65
SLC15A2	68.55	61.2	90.75	48	94.9	78.25	62.2	48.7	102	60.4	43.65	65.85	129.3	98.3	58.65	72.7	79.35	69.35	339.85	191.05	109.65	172.7	92.55
SLC15A3	639.4	1067.4	480.9	502.3	507.9	1011.9	2148.7	1445.4	1407.6	1236.4	1194.6	854.5	894.8	1480.8	998.3	1824.3	1749.7	1705.8	1308.8	1147	729.5	1871.8	1957.6
SLC16A1	289.65	304.8	234.625	1049.525	687.975	233.125	301.625	317.3	354.925	267.025	296.325	332.1	326	328.95	295.9	340.425	276.525	269.425	402.975	203.9	371.55	359.325	417.175
SLC16A10	323.1	110.4	97.9	219.9	69.6	85.9	64.4	59.8	60.1	479.5	135.9	96	109.3	111	133.7	185.5	43.2	110.4	281.9	172.6	125.2	175.7	209.2
SLC16A2	259	338.3	260.8	225.9	240.6	153.2	266	228.6	180.5	224.4	179.4	241.5	302.3	137.9	238.3	181.8	204.7	235.4	202.5	218.8	227.1	184.1	290.2
SLC16A4	133	207.3	233.8	66.4	101.3	97	138.5	140.9	140.3	106.1	185.1	293.4	90.9	295.1	111.4	164	103.4	139	86.8	123	135.4	113.3	97.6
SLC16A5	139.4	130.633333333333	114.5	89	63.2666666666667	84.0333333333333	92.5333333333333	121.666666666667	95.3333333333333	129.7	76.5666666666667	89.0666666666667	79.7	95.1666666666667	72.7333333333333	73.5	80.9	98.3333333333333	72.6333333333333	80.8	114.366666666667	84.8333333333333	125.6
SLC16A6	129.2	81.7	41.3	373.1	156.4	20.2	148.9	135.2	188.8	427.1	161	32.5	88.4	168.3	66.9	160.2	92.9	87.8	170.5	138.6	98.8	186.2	519.6
SLC16A7	109.4	105.85	285.25	408	364.9	229.6	62.55	163.8	211.75	179.65	94.75	70.35	110.65	117.95	108.4	105.5	56.4	70.25	122.35	100.35	52.55	84.15	176.15
SLC16A8	21.9	37.9	25.1	30.7	75.1	25.2	24.4	56.7	23.7	17.6	35.7	37.9	31	10.3	11.2	19.3	15.7	20.6	15.8	25.5	22.8	10.3	34.6
SLC17A1	74.6	107.2	104	93.2	134	121.6	56.2	63.9	92.1	94.5	153.7	126.7	187.4	94.2	64.4	93.3	91.5	84.7	68.2	137.5	93.3	74.3	153
SLC17A2	25.9	8.6	26.4	13.1	13.3	14.6	38.9	8.8	13	21.4	11.6	17.5	31	13	24.3	6.4	2	6.2	6.1	14.1	38.9	6.5	8.9
SLC17A3	104.2	120.3	109	165.8	155.1	74	58	63.7	101.4	59.9	88.9	134.2	106.2	83.3	69.8	86	54.8	47.1	57	117.5	80.4	72.8	83.9
SLC17A4	125.1	85.1	165.8	80	153.4	17.5	76.5	80.7	87.9	43.8	42	143.7	40	140.7	116	40.1	69.6	33.7	22.1	107.1	108	121.8	105
SLC17A5	644.1	755.7	757.4	394.3	463.9	1233	1392.5	865	1106.1	1265.5	1165.7	992.7	749.6	919	937.8	943.4	595	791.9	559.8	480.1	768.7	926.3	1144.3
SLC17A6	60.3	51.9	25.9	38.5	37.3	12.4	8.1	16	8.6	7.1	27.4	9.9	47.7	20.1	10.6	8.9	11.7	51	18.7	12.5	6.9	4.7	47.1
SLC17A7	147.65	224.8	210.35	162.4	192.45	314.4	434.2	375.05	316.3	225.5	196.2	427	143.35	197.1	263.15	218.45	123.15	131.85	118.85	170.05	316.55	199.8	215.75
SLC17A9	413.1	433.6	196.4	931.8	510.2	247.6	259.9	384.9	601.8	641.1	257.8	158.9	273	277.2	191.2	269.7	277.2	198.7	562.8	702.1	568.4	632.5	673.3
SLC18A1	87	71.3	73.1	89.9	87.1	16	61.5	48.5	15.5	44.3	19.5	86.4	23	16	12.8	54	38.6	22.9	36.7	17.9	67.1	41	43
SLC18A2	256.8	86.5	39.5	13.6	15.4	65.3	80.2	195.6	161.5	83.7	46.9	126.9	107.3	52.2	52.4	49.3	69.7	94.6	94	91.6	29.3	23.6	22.3
SLC18A3	12.8	30.8	11	65	17.7	24.7	59	22.7	60.2	83.8	22.1	9.8	76.4	23.2	27.3	50.4	10.3	23.4	33.5	19.7	14.3	14.2	64.8
SLC19A1	9.9	9.9	11.3	4.8	6.5	11.9	12.1	9.3	6.1	9.2	10.7	4.3	2.5	5.1	2.5	4.3	4.9	3.5	11	6.5	4.5	5.2	13.4
SLC19A2	760.4	221.4	763.4	1353.7	1168.4	1095.4	127.1	173.9	163.6	369.7	138.9	349	120.4	158.3	359.1	154.8	69.4	110.7	193.1	166.9	151.6	323.2	212.4
SLC19A3	126.5	120.3	1921.6	219.9	527.7	201.2	70.5	149.8	137.4	328.8	196.1	75.3	121	67.3	267.2	75.3	62.2	111.9	20.9	192.9	82.5	224.7	160.1
SLC1A1	358.6	560.7	240.65	564.1	384.5	478.9	238.8	352.55	478	488.4	383.35	334.9	243.4	426.15	316.55	268.05	190.1	196.4	311.55	278.7	387.1	292.7	177.85
SLC1A2	58.8	48.1	49.5	51.6	83.1	69.7	84.7	42.2	46.6	57.5	46.6	84.1	37.8	62.8	29	20.9	60.7	55.4	7	51	28.4	40.5	85.6
SLC1A3	896.1	795.4	2016.1	320.5	2039.7	1635.7	943.4	243.6	308.9	1182.8	731.9	332.6	789.5	566	825.1	717.5	786.7	951.2	1087.6	932.4	768	705.3	753.7
SLC1A4	275.125	732.5	416.125	580.75	403.85	366.75	503.575	539.8	616.65	540.875	796.625	772.975	462.95	633.75	862.95	566.05	700.525	439.15	739.675	589.45	533.45	772.825	424.275
SLC1A5	399.2	387	519.5	853.3	379.7	618.3	385.9	513.4	351.1	510.1	316.7	222.3	357.5	300.2	387.2	250.3	244.3	385	208.8	357.9	166.1	325	397.9
SLC1A6	23.9	23.9	24.3	19.2	17.1	29.5	21.7	20.8	42.2	25.3	20.5	17	22.7	18.2	31.1	13.1	26.9	22.2	25.3	32.6	24.1	17.8	19.9
SLC1A7	135.85	124.25	120.4	203.1	122.2	118.7	88.85	132	140.2	137.6	159.65	102.5	150	71.95	99.4	105.15	85.9	95.1	82.2	130.55	101.05	81.1	117.7
