geneNames	GSM302859	GSM302864	GSM302866	GSM302870	GSM302872	GSM302882	GSM302896	GSM302900	GSM302924	GSM302927	GSM302933	GSM302943	GSM303364	GSM303366	GSM303368	GSM303520	GSM303522	GSM303523	GSM303525	GSM303531	GSM303533
FKBP9	1799.44	2735.14	2121.62	1087.16	2135.68	2670.94	2393.82	1511.89	2959.93	2329.36	1681.42	1735.52	1536.59	3151.22	1425.16	2522.02	1397.65	4264.53	3269.68	2800.14	2280.84
FKBPL	143.704	101.817	65.6286	53.8302	164.998	94.1646	139.899	160.873	169.639	199.653	138.744	155.623	121.63	126.885	131.013	128.171	36.2495	269.836	233.424	213.829	66.6831
FKRP	11.0911	6.35444	9.85146	16.409	11.0959	7.66817	7.68253	4.45582	41.9047	14.5552	8.48169	11.48	10.295	6.08491	13.6178	11.4417	12.1682	20.5375	10.7944	16.2493	91.501
FKSG49	909.3865	757.114	846.7735	1011.476	559.5475	438.4715	637.072	485.948	332.8775	401.8215	340.0015	450.9745	796.9715	559.2	571.381	1028.55	906.5585	624.2035	865.4005	960.244	1046.0605
FKTN	244.165	254.831	295.498	392.216	277.142	272.002	289.274	263.782	232.135	169.986	138.973	176.594	261.464	299.973	244.375	196.463	337.749	231.211	188.524	158.597	155.742
FLAD1	299.5655	203.96	213.2095	397.8795	236.115	200.3835	211.961	201.129	205.842	225.2925	268.675	234.931	338.9805	212.3955	241.7355	216.049	338.6255	145.193	178.069	212.5	256.664
FLCN	166.995	164.788	80.1569	131.489	83.4236	62.2167	43.4928	47.0198	50.4384	8.51895	78.4587	33.0582	89.8158	330.955	147.609	123.651	35.7005	21.5075	154.626	150.716	92.8821
FLG	10.442	23.3786	13.6899	19.4867	7.36986	11.5556	15.0192	2.13538	13.2739	17.2209	32.8597	10.0918	26.6993	7.07657	7.41838	27.2181	9.99605	10.0215	8.52663	25.2018	3.60578
FLI1	408.628666666667	266.327666666667	345.976	232.043	199.213666666667	484.673	465.891333333333	321.745666666667	322.072666666667	507.944666666667	473.236333333333	653.14	375.463	456.415333333333	374.174666666667	342.518	205.386666666667	294.549	299.654	278.042	277.301
FLII	712.318333333333	942.181333333333	692.384333333333	983.34	766.058333333333	756.299	649.820666666667	802.149333333333	942.141333333333	877.845	1049.05233333333	973.310666666667	910.089	765.165	876.040333333333	901.614666666667	702.899333333333	921.088666666667	925.72	960.952666666667	951.223333333333
FLJ10038	194.44635	77.1482	156.60475	117.1754	246.56265	67.1376	244.95935	100.15685	126.91085	60.3314	130.6087	86.73845	153.0306	67.67255	150.2913	93.56315	152.5872	182.2275	88.95455	126.8912	113.4133
FLJ11292	40.4796075	50.735525	30.806825	55.238315	93.072005	43.2319575	50.00615	23.268335	26.90571	44.785975	39.1371	27.193725	76.67675	46.013595	39.769075	45.838355	49.7325525	24.664375	17.6459525	62.19275	44.094925
FLJ11710	27.2028	79.7303	32.4251	73.5929	26.0265	20.1638	80.2192	21.6205	26.4728	115.547	22.1489	27.6734	81.2431	73.5173	70.8207	69.0679	57.5627	36.0156	53.4017	71.9703	96.8904
FLJ13224	9.66176	9.81189	4.67516	2.74139	3.92157	6.40144	6.39832	4.35744	2.88809	4.489	5.11928	7.20488	7.01788	7.1563	4.55426	18.9995	5.84876	5.14379	4.43668	38.5922	13.6865
FLJ20712	6.01902	4.94736	4.13912	5.37888	11.1264	7.67724	7.4353	9.76455	4.8758	4.44367	14.4823	3.75917	6.55902	5.91398	5.14609	6.78414	6.80273	6.96789	9.20827	16.7509	8.8466
FLJ21369	44.4852	11.2453	45.9401	29.1008	28.8898	16.8835	28.5233	21.3202	6.01553	10.3584	10.96	2.79468	60.9754	58.8876	39.2536	27.3469	50.9675	33.016	3.78577	23.6879	11.8546
FLJ22184	11.0567	13.5499	12.2936	26.4676	12.4615	8.55655	12.3786	7.73276	6.74552	13.1518	5.95807	8.37705	13.1393	7.5283	8.75931	25.1886	12.8076	11.0629	11.3651	16.2376	20.8613
FLJ42627	241.1775	223.5561	193.74875	402.037	174.39935	250.456	232.4388	135.1575	136.9735	99.09465	322.563	127.64515	228.85155	186.8969	144.48515	211.92535	266.7617	194.77915	378.3495	347.8346	209.7733
FLNA	2124.53	2714.63	1262.03133333333	2120.47333333333	2340.80666666667	2119.99333333333	1714.66	2137.39666666667	3835.84333333333	1963.94333333333	2487.96	2488.75666666667	2123.18666666667	2150.48333333333	2426.7	3412.87333333333	1839.60666666667	4086.39666666667	2772.25333333333	2471.50333333333	2637.14
